Id,data_venda,vendedor,equipe,categoria_servico,servico,quantidade,preco_unitario,custo,cliente,estado,regiao
64,2023-11-20,Ana Júlia,Equipe Solaris,Desenvolvimento,Automação de Processos,10,354.56,307.47,Ferreira,RJ,sudeste
65,2023-04-13,Luna,Equipe Solaris,Consultoria,Consultoria em TI,20,846.63,745.05,Ferreira S.A.,PA,norte
66,2024-12-17,Luna,Equipe Solaris,Desenvolvimento,Automação de Processos,7,922.88,506.77,Lima,GO,centro-oeste
67,2023-09-08,Danilo,Equipe Solaris,Infraestrutura,Monitoramento de Sistemas,7,258.01,184.14,da Costa,CE,nordeste
68,2024-06-22,Luna,Equipe Solaris,Consultoria,Planejamento Estratégico de TI,17,1489.44,867.73,Silva,GO,centro-oeste
69,2024-10-08,Danilo,Equipe Solaris,Desenvolvimento,Integração de Sistemas,19,1277.67,876.22,Caldeira Ltda.,MT,centro-oeste
70,2023-05-08,Agatha,Equipe Solaris,Consultoria,Planejamento Estratégico de TI,13,545.42,352.4,Silva Ltda.,MT,centro-oeste
71,2022-11-11,Isabella,Equipe Solaris,Desenvolvimento,Desenvolvimento de Software,18,796.81,540.18,Silveira,SC,sul
72,2024-08-26,Isabella,Equipe Solaris,Infraestrutura,Suporte Técnico,14,871.03,555.55,Araújo - EI,MT,centro-oeste
73,2022-06-24,Isabella,Equipe Solaris,Desenvolvimento,Desenvolvimento de Software,2,184.92,145.41,Cunha Ribeiro S/A,CE,nordeste
74,2024-05-25,Luna,Equipe Solaris,Desenvolvimento,Integração de Sistemas,3,1000.21,568.45,Cavalcanti,PE,nordeste
75,2024-09-24,Luna,Equipe Solaris,Consultoria,Consultoria em TI,19,534.03,279.62,Moreira Jesus - ME,MT,centro-oeste
76,2023-02-08,Isabella,Equipe Solaris,Infraestrutura,Suporte Técnico,16,1116.52,814.52,Farias,DF,centro-oeste
77,2022-11-17,Isabella,Equipe Solaris,Desenvolvimento,Criação de Aplicativos,12,1317.49,1030.65,Cardoso,GO,centro-oeste
78,2024-12-07,Agatha,Equipe Solaris,Consultoria,Treinamento em TI,12,1186.28,630.32,da Rocha da Cunha S/A,MG,sudeste
79,2023-11-18,Luna,Equipe Solaris,Desenvolvimento,Automação de Processos,17,942.97,726.11,da Mata,PR,sul
80,2023-12-14,Ana Júlia,Equipe Solaris,Consultoria,Consultoria em TI,19,422.66,217.79,Silveira,SC,sul
81,2025-04-23,Ana Júlia,Equipe Solaris,Desenvolvimento,Integração de Sistemas,19,253.08,179.38,Ferreira - ME,RS,sul
82,2022-09-27,Ana Júlia,Equipe Solaris,Infraestrutura,Backup em Nuvem,1,200.75,121.97,Dias,RS,sul
83,2025-01-30,Ana Júlia,Equipe Solaris,Infraestrutura,Suporte Técnico,5,1459.72,1021.0,Freitas,RO,norte
84,2023-04-02,Ana Júlia,Equipe Solaris,Consultoria,Planejamento Estratégico de TI,13,1289.15,923.04,Silva da Rocha Ltda.,PA,norte
85,2024-09-17,Luna,Equipe Solaris,Desenvolvimento,Automação de Processos,4,405.29,276.63,Barbosa - ME,PA,norte
86,2023-05-02,Luna,Equipe Solaris,Consultoria,Consultoria em TI,12,385.0,220.23,da Luz S.A.,RJ,sudeste
87,2023-06-18,Danilo,Equipe Solaris,Consultoria,Auditoria de Sistemas,8,228.66,182.08,da Cunha Moura - ME,SC,sul
88,2024-08-16,Luna,Equipe Solaris,Desenvolvimento,Desenvolvimento Web,14,841.17,691.78,Jesus - EI,AM,norte
89,2024-07-08,Ana Júlia,Equipe Solaris,Consultoria,Gestão de Projetos de TI,11,588.77,412.45,Monteiro S/A,PR,sul
90,2023-02-27,Isabella,Equipe Solaris,Consultoria,Gestão de Projetos de TI,10,1070.21,565.45,Souza e Filhos,MG,sudeste
91,2024-02-25,Isabella,Equipe Solaris,Infraestrutura,Suporte Técnico,16,1377.07,730.28,Araújo S/A,GO,centro-oeste
92,2023-03-19,Danilo,Equipe Solaris,Infraestrutura,Suporte Técnico,2,1169.28,988.02,Fernandes,BA,nordeste
93,2024-11-04,Danilo,Equipe Solaris,Desenvolvimento,Automação de Processos,11,547.95,302.29,Pinto da Conceição Ltda.,BA,nordeste
94,2023-08-31,Agatha,Equipe Solaris,Infraestrutura,Backup em Nuvem,2,928.7,713.23,da Paz,SP,sudeste
95,2024-09-02,Isabella,Equipe Solaris,Desenvolvimento,Desenvolvimento de Software,16,213.58,124.77,Santos da Cunha e Filhos,SP,sudeste
96,2023-05-10,Ana Júlia,Equipe Solaris,Consultoria,Gestão de Projetos de TI,10,449.4,379.52,da Cunha Ltda.,SP,sudeste
97,2024-09-26,Ana Júlia,Equipe Solaris,Consultoria,Gestão de Projetos de TI,11,1092.16,630.28,Jesus,MT,centro-oeste
98,2022-08-16,Agatha,Equipe Solaris,Desenvolvimento,Desenvolvimento Web,11,940.99,821.79,Cardoso Costa S/A,MT,centro-oeste
99,2024-05-09,Isabella,Equipe Solaris,Infraestrutura,Hospedagem de Sites,14,1464.66,892.26,Fogaça,PR,sul
100,2022-12-15,Isabella,Equipe Solaris,Consultoria,Consultoria em TI,11,607.61,414.46,Castro Ltda.,CE,nordeste
101,2023-06-01,Agatha,Equipe Solaris,Infraestrutura,Backup em Nuvem,12,329.86,256.69,Gomes - EI,RS,sul
102,2025-05-22,Ana Júlia,Equipe Solaris,Infraestrutura,Gerenciamento de Redes,15,829.05,549.82,da Rocha,RO,norte
103,2023-09-05,Agatha,Equipe Solaris,Infraestrutura,Suporte Técnico,1,1365.64,1130.38,Oliveira Teixeira - ME,SC,sul
104,2022-10-12,Agatha,Equipe Solaris,Desenvolvimento,Desenvolvimento de Software,14,1465.49,959.02,Martins - ME,GO,centro-oeste
105,2025-04-29,Ana Júlia,Equipe Solaris,Infraestrutura,Gerenciamento de Redes,20,157.12,90.16,Correia,PE,nordeste
106,2023-07-06,Isabella,Equipe Solaris,Infraestrutura,Backup em Nuvem,13,561.25,387.39,Martins - EI,SC,sul
107,2023-11-18,Danilo,Equipe Solaris,Consultoria,Planejamento Estratégico de TI,16,380.13,232.72,da Rocha,PA,norte
108,2025-05-16,Luna,Equipe Solaris,Consultoria,Planejamento Estratégico de TI,11,1125.32,911.28,Aragão Nascimento S/A,MT,centro-oeste
109,2024-04-30,Luna,Equipe Solaris,Infraestrutura,Hospedagem de Sites,20,174.06,117.77,Ribeiro Novaes e Filhos,MT,centro-oeste
110,2024-07-04,Ana Júlia,Equipe Solaris,Desenvolvimento,Automação de Processos,2,894.31,798.66,da Cruz,RJ,sudeste
111,2023-01-24,Isabella,Equipe Solaris,Desenvolvimento,Desenvolvimento de Software,1,520.32,400.45,Ribeiro Rodrigues - ME,PA,norte
112,2023-01-04,Danilo,Equipe Solaris,Desenvolvimento,Desenvolvimento de Software,18,1476.58,1223.93,Moura S.A.,RS,sul
113,2024-11-05,Isabella,Equipe Solaris,Desenvolvimento,Desenvolvimento Web,15,340.03,247.11,Caldeira,MT,centro-oeste
114,2022-09-13,Ana Júlia,Equipe Solaris,Consultoria,Consultoria em TI,16,1309.13,1008.03,Lima Vieira - EI,CE,nordeste
115,2022-06-20,Danilo,Equipe Solaris,Desenvolvimento,Integração de Sistemas,18,192.18,151.33,Caldeira Cunha Ltda.,MT,centro-oeste
116,2023-05-13,Luna,Equipe Solaris,Consultoria,Auditoria de Sistemas,5,493.66,287.67,Almeida Freitas e Filhos,GO,centro-oeste
117,2024-07-14,Isabella,Equipe Solaris,Consultoria,Gestão de Projetos de TI,17,332.75,171.54,Santos Porto - ME,RJ,sudeste
118,2024-08-26,Luna,Equipe Solaris,Infraestrutura,Hospedagem de Sites,9,210.56,121.94,das Neves Sales - EI,SP,sudeste
119,2024-09-29,Danilo,Equipe Solaris,Desenvolvimento,Criação de Aplicativos,13,1225.12,667.8,da Costa - ME,CE,nordeste
120,2023-06-18,Isabella,Equipe Solaris,Infraestrutura,Suporte Técnico,10,828.73,562.6,Pereira S.A.,RS,sul
121,2022-09-19,Luna,Equipe Solaris,Infraestrutura,Gerenciamento de Redes,12,373.8,194.07,Lima,DF,centro-oeste
122,2023-05-05,Agatha,Equipe Solaris,Desenvolvimento,Integração de Sistemas,10,488.73,329.83,Aragão Ltda.,CE,nordeste
123,2023-10-15,Ana Júlia,Equipe Solaris,Consultoria,Gestão de Projetos de TI,14,1005.93,898.91,Martins,RS,sul
124,2024-12-30,Ana Júlia,Equipe Solaris,Consultoria,Gestão de Projetos de TI,19,1003.89,573.75,Moura - EI,SC,sul
125,2023-01-23,Ana Júlia,Equipe Solaris,Infraestrutura,Hospedagem de Sites,11,1300.37,1115.87,Moreira,PA,norte
126,2023-08-18,Isabella,Equipe Solaris,Desenvolvimento,Criação de Aplicativos,6,240.72,180.13,Santos - ME,AM,norte
127,2023-08-13,Danilo,Equipe Solaris,Consultoria,Auditoria de Sistemas,19,1435.4,935.22,Mendes Cardoso - ME,BA,nordeste
128,2024-02-20,Isabella,Equipe Solaris,Infraestrutura,Suporte Técnico,11,169.32,147.74,Moraes da Mota S/A,AM,norte
129,2025-04-12,Isabella,Equipe Solaris,Desenvolvimento,Desenvolvimento Web,7,695.64,621.16,Rezende Silva Ltda.,MG,sudeste
130,2025-05-10,Ana Júlia,Equipe Solaris,Infraestrutura,Backup em Nuvem,12,473.41,328.25,Rocha,DF,centro-oeste
131,2023-03-25,Isabella,Equipe Solaris,Consultoria,Consultoria em TI,9,198.62,118.09,da Paz - ME,AM,norte
132,2023-09-08,Isabella,Equipe Solaris,Consultoria,Auditoria de Sistemas,3,1118.97,818.52,Alves Nogueira S.A.,AM,norte
133,2022-09-23,Ana Júlia,Equipe Solaris,Infraestrutura,Gerenciamento de Redes,2,354.13,276.79,da Conceição,GO,centro-oeste
134,2024-05-27,Agatha,Equipe Solaris,Consultoria,Auditoria de Sistemas,17,1034.54,811.1,da Cunha,AM,norte
135,2022-07-01,Ana Júlia,Equipe Solaris,Desenvolvimento,Criação de Aplicativos,8,1326.75,951.13,Fogaça,SC,sul
136,2024-08-02,Danilo,Equipe Solaris,Desenvolvimento,Desenvolvimento Web,2,965.53,821.77,da Rocha Souza S.A.,MT,centro-oeste
137,2022-07-22,Luna,Equipe Solaris,Desenvolvimento,Automação de Processos,13,264.36,171.56,da Cunha Duarte e Filhos,PR,sul
138,2022-08-08,Isabella,Equipe Solaris,Desenvolvimento,Desenvolvimento Web,12,230.21,138.99,Caldeira Pinto S.A.,PA,norte
139,2024-12-25,Danilo,Equipe Solaris,Consultoria,Planejamento Estratégico de TI,18,1304.19,857.23,Silveira - ME,RS,sul
140,2023-11-18,Agatha,Equipe Solaris,Infraestrutura,Backup em Nuvem,9,1328.61,671.61,Nascimento,PR,sul
141,2023-09-13,Danilo,Equipe Solaris,Infraestrutura,Hospedagem de Sites,13,1212.28,877.69,Fernandes,PR,sul
142,2022-06-21,Isabella,Equipe Solaris,Infraestrutura,Backup em Nuvem,6,844.41,728.49,da Cunha,SP,sudeste
143,2025-03-31,Ana Júlia,Equipe Solaris,Infraestrutura,Gerenciamento de Redes,7,1354.74,1008.15,Lima,DF,centro-oeste
144,2024-02-24,Isabella,Equipe Solaris,Infraestrutura,Suporte Técnico,10,1358.69,926.32,da Cruz Ramos Ltda.,BA,nordeste
145,2025-05-14,Danilo,Equipe Solaris,Infraestrutura,Gerenciamento de Redes,2,1260.12,882.58,Moura Ltda.,CE,nordeste
146,2023-05-24,Agatha,Equipe Solaris,Infraestrutura,Backup em Nuvem,14,327.94,236.18,Martins,GO,centro-oeste
147,2024-01-02,Isabella,Equipe Solaris,Desenvolvimento,Automação de Processos,12,347.31,240.1,da Luz,MT,centro-oeste
148,2023-06-17,Isabella,Equipe Solaris,Consultoria,Planejamento Estratégico de TI,16,607.39,516.0,Nascimento da Mota S/A,RJ,sudeste
149,2024-07-01,Agatha,Equipe Solaris,Consultoria,Consultoria em TI,9,966.86,490.6,Rodrigues - ME,CE,nordeste
150,2022-07-21,Agatha,Equipe Solaris,Desenvolvimento,Desenvolvimento Web,16,557.23,433.55,Mendes,SP,sudeste
151,2022-12-08,Luna,Equipe Solaris,Desenvolvimento,Criação de Aplicativos,15,782.06,462.09,Lopes - EI,PA,norte
152,2022-08-28,Isabella,Equipe Solaris,Consultoria,Gestão de Projetos de TI,14,526.07,443.53,Souza S/A,BA,nordeste
153,2024-04-09,Luna,Equipe Solaris,Desenvolvimento,Criação de Aplicativos,13,233.05,119.3,Fogaça S/A,DF,centro-oeste
154,2022-06-23,Luna,Equipe Solaris,Consultoria,Auditoria de Sistemas,7,914.43,607.96,Farias,PA,norte
155,2023-02-14,Isabella,Equipe Solaris,Desenvolvimento,Automação de Processos,16,674.24,484.58,Dias,RS,sul
156,2025-03-07,Danilo,Equipe Solaris,Infraestrutura,Monitoramento de Sistemas,20,839.84,484.31,Viana,MT,centro-oeste
157,2022-10-18,Luna,Equipe Solaris,Infraestrutura,Suporte Técnico,2,923.38,734.8,Novaes S/A,SC,sul
158,2025-03-12,Danilo,Equipe Solaris,Desenvolvimento,Criação de Aplicativos,10,844.62,655.82,Fernandes S/A,RS,sul
159,2024-04-02,Isabella,Equipe Solaris,Desenvolvimento,Automação de Processos,14,1437.17,920.26,Peixoto,SP,sudeste
160,2024-09-18,Danilo,Equipe Solaris,Desenvolvimento,Automação de Processos,19,1163.73,787.49,Cavalcanti,MG,sudeste
161,2023-08-13,Agatha,Equipe Solaris,Infraestrutura,Hospedagem de Sites,8,1108.81,878.0,Vieira Moraes Ltda.,AM,norte
162,2023-04-13,Agatha,Equipe Solaris,Desenvolvimento,Integração de Sistemas,11,1301.51,926.35,Monteiro,GO,centro-oeste
163,2024-08-24,Danilo,Equipe Solaris,Consultoria,Gestão de Projetos de TI,14,793.9,400.95,Peixoto e Filhos,GO,centro-oeste
164,2023-05-04,Isabella,Equipe Solaris,Infraestrutura,Gerenciamento de Redes,13,1030.04,629.26,Duarte,AM,norte
165,2024-10-20,Luna,Equipe Solaris,Infraestrutura,Suporte Técnico,3,942.16,513.62,Farias,DF,centro-oeste
166,2023-04-11,Luna,Equipe Solaris,Infraestrutura,Gerenciamento de Redes,14,1093.48,877.51,Lima,MT,centro-oeste
167,2025-03-06,Isabella,Equipe Solaris,Desenvolvimento,Integração de Sistemas,10,1216.85,1005.33,Martins Santos Ltda.,PR,sul
168,2023-03-13,Ana Júlia,Equipe Solaris,Infraestrutura,Backup em Nuvem,4,791.42,567.1,Souza,SP,sudeste
169,2023-12-01,Agatha,Equipe Solaris,Desenvolvimento,Criação de Aplicativos,2,151.36,133.02,Barros,MT,centro-oeste
170,2023-09-08,Luna,Equipe Solaris,Consultoria,Treinamento em TI,8,228.6,180.52,da Cunha Nascimento e Filhos,PA,norte
171,2024-01-27,Isabella,Equipe Solaris,Consultoria,Gestão de Projetos de TI,9,699.17,612.34,Novaes,PR,sul
172,2025-01-09,Ana Júlia,Equipe Solaris,Infraestrutura,Monitoramento de Sistemas,14,1150.7,873.82,Porto Alves S/A,RJ,sudeste
173,2024-01-21,Isabella,Equipe Solaris,Consultoria,Auditoria de Sistemas,9,1400.3,892.15,Rocha Rezende Ltda.,CE,nordeste
174,2023-01-04,Luna,Equipe Solaris,Desenvolvimento,Criação de Aplicativos,11,1414.41,825.94,Fernandes Ltda.,RJ,sudeste
175,2022-09-15,Ana Júlia,Equipe Solaris,Infraestrutura,Gerenciamento de Redes,16,684.97,405.92,Oliveira,MT,centro-oeste
176,2024-02-21,Danilo,Equipe Solaris,Desenvolvimento,Automação de Processos,4,1137.78,681.25,Lopes S.A.,AM,norte
177,2024-07-26,Ana Júlia,Equipe Solaris,Consultoria,Planejamento Estratégico de TI,7,851.19,643.96,Mendes da Mata S.A.,PA,norte
178,2022-08-18,Agatha,Equipe Solaris,Infraestrutura,Suporte Técnico,9,279.5,193.8,da Cruz,RO,norte
179,2025-05-08,Agatha,Equipe Solaris,Desenvolvimento,Desenvolvimento Web,13,1252.56,794.6,Peixoto,CE,nordeste
180,2023-12-12,Isabella,Equipe Solaris,Infraestrutura,Backup em Nuvem,11,896.01,604.84,da Rosa,RJ,sudeste
181,2023-12-16,Luna,Equipe Solaris,Infraestrutura,Monitoramento de Sistemas,5,1456.38,1094.49,Costela,RS,sul
182,2024-05-22,Agatha,Equipe Solaris,Consultoria,Treinamento em TI,7,968.53,700.43,Fernandes,PR,sul
183,2024-04-17,Luna,Equipe Solaris,Consultoria,Planejamento Estratégico de TI,14,1092.72,883.3,Oliveira,RJ,sudeste
184,2024-03-13,Ana Júlia,Equipe Solaris,Desenvolvimento,Criação de Aplicativos,16,882.24,634.08,da Mota,BA,nordeste
185,2023-11-26,Ana Júlia,Equipe Solaris,Infraestrutura,Gerenciamento de Redes,8,494.0,392.59,Lima,MT,centro-oeste
186,2024-03-21,Luna,Equipe Solaris,Infraestrutura,Hospedagem de Sites,10,453.9,319.79,da Rosa - ME,PA,norte
187,2022-11-06,Luna,Equipe Solaris,Desenvolvimento,Automação de Processos,11,1007.85,810.03,Fernandes e Filhos,AM,norte
188,2025-02-20,Danilo,Equipe Solaris,Consultoria,Consultoria em TI,10,160.59,104.65,Moura,GO,centro-oeste
189,2023-05-30,Isabella,Equipe Solaris,Infraestrutura,Gerenciamento de Redes,7,677.17,358.85,Carvalho,SP,sudeste
190,2023-02-15,Isabella,Equipe Solaris,Desenvolvimento,Criação de Aplicativos,16,470.6,394.32,Melo Nunes Ltda.,RJ,sudeste
191,2023-07-04,Agatha,Equipe Solaris,Infraestrutura,Backup em Nuvem,18,1152.58,745.27,Novaes S/A,PA,norte
192,2022-07-09,Agatha,Equipe Solaris,Infraestrutura,Monitoramento de Sistemas,20,295.15,184.03,Duarte - EI,SP,sudeste
193,2023-07-09,Isabella,Equipe Solaris,Consultoria,Gestão de Projetos de TI,11,889.14,730.03,Peixoto,PA,norte
194,2025-05-21,Luna,Equipe Solaris,Desenvolvimento,Desenvolvimento de Software,15,159.5,107.96,Ramos S/A,SP,sudeste
195,2023-08-19,Ana Júlia,Equipe Solaris,Desenvolvimento,Automação de Processos,12,192.96,155.9,da Cruz da Paz S.A.,RJ,sudeste
196,2024-10-01,Isabella,Equipe Solaris,Infraestrutura,Gerenciamento de Redes,12,544.02,395.06,Moura e Filhos,PA,norte
197,2024-07-04,Ana Júlia,Equipe Solaris,Consultoria,Planejamento Estratégico de TI,17,586.18,488.72,Castro - EI,RO,norte
198,2025-05-04,Ana Júlia,Equipe Solaris,Infraestrutura,Suporte Técnico,20,1206.49,986.41,Cardoso,BA,nordeste
199,2022-07-02,Isabella,Equipe Solaris,Consultoria,Planejamento Estratégico de TI,12,1125.35,756.7,Melo S/A,RO,norte
200,2023-08-25,Isabella,Equipe Solaris,Infraestrutura,Monitoramento de Sistemas,16,912.89,536.97,Ribeiro,RS,sul
201,2022-07-07,Agatha,Equipe Solaris,Desenvolvimento,Criação de Aplicativos,16,1236.63,958.61,Viana - ME,AM,norte
202,2025-04-09,Danilo,Equipe Solaris,Consultoria,Planejamento Estratégico de TI,5,935.54,768.4,Souza,PA,norte
203,2024-12-05,Danilo,Equipe Solaris,Consultoria,Treinamento em TI,8,1419.81,1263.35,Campos,PE,nordeste
204,2023-08-16,Agatha,Equipe Solaris,Infraestrutura,Monitoramento de Sistemas,2,1214.94,713.51,Costa,PA,norte
